column_name_frontend,column_name_backend,source_value,target_value
Product Category,product_category,No name,Other
Product Group,product_group,Buns and rolls (not fast food),"Other buns and rolls (not fast food, not sandwich)"
Product Group,product_group,Filled baguette,Savoury Filled Baguettes
