Actuality,BusinessUnit,Company_ID,Year,Month,Week,Date,Channel_K1,Global_Customer_Group_K2,Local_Customer_Group_K3,Country_K4,Product_Category_P1,Product_Group_P2,Own/Traded_products_P3,Brand_P4,Sub-brand_P4_1,Packing_P5,Fresh/Frozen_P6,Sustainability_P7,Preparation_P8,Product_Size_P9,Product_segment_P10,Degree_of_innovation_P11,Gross_Sales_(LC),On_Invoice_discounts_(LC),Off_Invoice_discounts_(LC),Net_Sales_(LC),Net_Sales_in_inv_Currency,Currency_invoiced_in,Volume_Pallets,Volume_Cartons,Volume_Bags,Volume_Kilo,COGS_(LC),ItemID,ItemName,CustomerID,CustomerName,Warehouse_cost_(LC),Transportation_cost_(LC),Suport_cost_(LC)
AC,U16U,AU02,2024,1,1,20240102,2_Food Service,,,AU_Australia,70_Cakes & Desserts ,707_Tarts,3_Trade products - external trade,11_Schulstad Bakery Solutions,1100_Schulstad Bakery Solutions,2_B2B packed,2_Frozen,,2_Bake frozen,,,,5992,,-734,5258,5258,AUD,1,112,,311,-3099,6501,Portuguese Custard Tart SG,Other,Other,-204,-150,0
AC,U16U,AU02,2024,1,1,20240102,2_Food Service,,,AU_Australia,30_French pastry,301_Plain curved croissants,2_Trade products - Internal trade,11_Schulstad Bakery Solutions,1100_Schulstad Bakery Solutions,2_B2B packed,2_Frozen,,2_Bake frozen,,,,637,,-48,589,589,AUD,0,18,,58,-368,6102,Premium Croissant Curved,Bidfood,Bidfood,-33,-31,0
AC,U16U,AU02,2024,1,1,20240102,2_Food Service,,,AU_Australia,30_French pastry,303_Pain au Chocolat ,2_Trade products - Internal trade,11_Schulstad Bakery Solutions,1100_Schulstad Bakery Solutions,2_B2B packed,2_Frozen,,2_Bake frozen,,,,147,,-11,136,136,AUD,0,3,,13,-72,6103,Pain Chocolat,Bidfood,Bidfood,-5,-5,0
AC,U16U,AU02,2024,1,1,20240102,2_Food Service,,,AU_Australia,20_Danish pastry,206_Mixed Packs,1_Own products,11_Schulstad Bakery Solutions,1100_Schulstad Bakery Solutions,2_B2B packed,2_Frozen,,2_Bake frozen,,,,4410,,-332,4078,4078,AUD,1,60,,310,-1818,5006-15,Mini Danish Variant Pack v15,Bidfood,Bidfood,-109,-64,0
